,PropertyStreetNbrNameText,PropertyCityName,State,PropertyZipCode,TotalAssessedAmt,Lat,Lng,Arlington Cemetery,Ballston MU,Clarendon,Court House,Crystal City,East Falls Church,Pentagon,Pentagon City,Ronald Reagan Washington National Airport,Rosslyn,Virginia Square GMU,MinDistance
0,5512 WILLIAMSBURG BLVD,ARLINGTON,VA,22207,838200,38.9065844,-77.1475052,4.783354034563381,2.578263676622865,3.116943405517883,3.524144600046038,6.171498741050541,1.534448793689903,5.5046000209151655,5.58023398671955,6.840146980645115,4.1163771174811234,2.879751834107442,1.534448793689903
1,419 N NORWOOD ST,ARLINGTON,VA,22203,881000,38.876818799999995,-77.1024228,2.177857252477656,0.6029485866462659,0.8085819854422112,1.3881815987544615,3.03756995187692,2.9608070445927903,2.5323603476669843,2.4668660440386816,3.6855852257010433,2.14411698495711,0.4179549434278881,0.4179549434278881
2,505 N MANCHESTER ST,ARLINGTON,VA,22203,685000,38.871422700000004,-77.13373059999998,3.902255501073869,1.4011618433473831,2.3368812899641815,2.973054822401041,4.511228184434896,1.5557338256762705,4.184238956876724,4.002512545270241,5.084223219541297,3.7574343681590285,1.8052069999725213,1.4011618433473831
3,4102 11th ST N,ARLINGTON,VA,22201,657500,38.883899,-77.10988669999998,2.5128330902415543,0.15872363479389695,0.8186386318791993,1.4452962739753326,3.6242691759407166,2.5006587538913725,3.0356933850843264,3.0403091874711152,4.285561013052548,2.226527683812452,0.35048274081273756,0.15872363479389695
4,3708 5th ST S,ARLINGTON,VA,22204,825000,38.8664531,-77.09734040000001,2.2234187642709635,1.314067096561603,1.430729145169427,1.8593528737705576,2.52742469177925,3.434652800646766,2.2483932718589807,2.0166678392242874,3.1225738717648457,2.504581375851424,1.1778690886880885,1.1778690886880885
5,1761 N TROY ST 09445,ARLINGTON,VA,22201,275500,38.894129,-77.08290099999998,1.2499507629664834,1.7516700725528767,0.8220615826284906,0.207236516397917,3.048051372399733,3.9944887287629793,2.159246242402745,2.4722908012841285,3.7335768762136525,0.61681998868755,1.3571857635835287,0.207236516397917
6,969 S TAYLOR ST,ARLINGTON,VA,22204,414800,38.85893900000001,-77.10355799999998,2.8025240656498727,1.6469153830571472,1.996309106547885,2.4673616209482683,2.782591168506411,3.3794230921176807,2.6927264895369087,2.354822849781451,3.296741615411161,3.1221826262824885,1.6491200251346898,1.6469153830571472
7,1639 N WOODSTOCK ST,ARLINGTON,VA,22207,766300,38.890869099999996,-77.1199993,3.087044311440777,0.7672387372837471,1.3573907521978128,1.8894064957286796,4.339660134033222,1.9896541106665928,3.7092918460232718,3.751060454331091,5.005874225537372,2.6152936504750524,1.0466589678668947,0.7672387372837471
8,3355 S STAFFORD ST,ARLINGTON,VA,22206,529400,38.8343015,-77.08591679999998,3.6820840605132164,3.5687661518319143,3.68192745808156,3.956153008175729,2.4203343071463723,5.181948286848804,3.003008548131243,2.423969950482889,2.519697550807978,4.386528886672384,3.4827032960772786,2.4203343071463723
9,1637 N BUCHANAN ST,ARLINGTON,VA,22207,767900,38.890151700000004,-77.12256140000002,3.2172078098389556,0.8218386370859116,1.4849993334329674,2.028923351018889,4.43097634919988,1.8451614291404914,3.8201542573206213,3.845700221623281,5.0924674529538265,2.759324629603902,1.1427727645980952,0.8218386370859116
10,5039 30th ST N,ARLINGTON,VA,22207,2277900,38.90553920000001,-77.13723619999998,4.2382326549182725,2.138257885798136,2.5935527609528752,2.9766929196082805,5.676645844104802,1.7258503158625493,4.981676483727667,5.081642971926913,6.351983610603613,3.5599075065005854,2.398691742069502,1.7258503158625493
11,43 N OAKLAND ST,ARLINGTON,VA,22203,755600,38.8722972,-77.1006807,2.188254195056798,0.8850631824587779,1.0636377646338073,1.5788504437872382,2.824436962335989,3.1289162991897213,2.4079998057525365,2.274054426938002,3.453073237679868,2.2938821404676237,0.7420760176311978,0.7420760176311978
12,5714 LITTLE FALLS RD,ARLINGTON,VA,22207,888100,38.9017526,-77.14701090000001,4.662303348134103,2.349688586872275,2.9630190988286667,3.414687631990002,5.970760813814502,1.2319696314338302,5.339429709972301,5.384667237406232,6.631631976569864,4.048834283516087,2.680082769505625,1.2319696314338302
13,3711 N GLEBE RD,ARLINGTON,VA,22207,1074100,38.9172085,-77.13534859999999,4.488755572250489,2.7527604554582656,2.9970872004583122,3.241372841664836,6.1101705240063895,2.466502018425088,5.33279889717867,5.511065634033841,6.797405932863644,3.6860242935780545,2.9288711866989687,2.466502018425088
14,1802 KEY BLVD 09485,ARLINGTON,VA,22201,341800,38.89492620000001,-77.0820092,1.2404574259379904,1.8203477809285789,0.8934476014102875,0.27941508869074194,3.068697501152425,4.050414092923763,2.1690759040725562,2.4972875241492845,3.752294576753322,0.5556245689209772,1.428227034066683,0.27941508869074194
15,1705 S POLLARD ST,ARLINGTON,VA,22204,568600,38.853489,-77.0945552,2.731292737211599,2.1678230514946266,2.3222329272669215,2.6810628516331563,2.3100592812797767,3.990989514156614,2.4025772449604053,1.967644070363732,2.762254767149935,3.232993196905249,2.082331677880254,1.967644070363732
16,3189 N QUINCY ST,ARLINGTON,VA,22207,897800,38.915975399999994,-77.1183811,3.677340087849692,2.3791102692428323,2.351907625487706,2.468297297080882,5.41072799483544,2.9341176025491937,4.576295524386614,4.815594595310168,6.101575422586685,2.8231471088635076,2.426988165032603,2.351907625487706
17,5565 COLUMBIA PIKE 508,ARLINGTON,VA,22204,101700,38.854945,-77.122467,3.789736024412496,1.9582029063253197,2.6610481263423273,3.238307088527432,3.8007042077405555,2.786978144545079,3.7459490343155144,3.401477842230269,4.267050521104086,3.969907631975641,2.1781807282965286,1.9582029063253197
18,5136 10th ST N,ARLINGTON,VA,22205,961300,38.881339000000004,-77.12561790000002,3.365933750625509,0.7617914555286758,1.682075496063925,2.3019831054828797,4.302486181616435,1.676705409928559,3.8153529181462607,3.743449503452222,4.932182630045604,3.0774731752508804,1.192694043381269,0.7617914555286758
19,5650 6th ST N,ARLINGTON,VA,22205,914300,38.8723742,-77.1287641,3.627129771985985,1.1417657306296713,2.070720650151864,2.7070218795637215,4.266488601755218,1.7372572931669683,3.9181364511181203,3.7490389986351076,4.850444597459169,3.4912038392604248,1.5371704240417827,1.1417657306296713
20,2522 S WALTER REED DR 00002,ARLINGTON,VA,22206,473700,38.84563199999999,-77.10045500000001,3.3553817793974705,2.5793760599202358,2.8785745352491188,3.281700109532174,2.7329581930331055,4.075983779841955,2.9661696701095863,2.48230828013373,3.0798807529140113,3.85640080132644,2.573841213864541,2.48230828013373
21,2305 S COLUMBUS ST,ARLINGTON,VA,22206,611700,38.84542329999999,-77.1053112,3.5288272247291546,2.546409520351607,2.9298719763269943,3.37155312064591,2.9877032529551184,3.8975194824584563,3.188797451216793,2.7202058628623957,3.3414479128705445,3.9802879609818147,2.5847542158476315,2.546409520351607
22,4604 C 28th RD S C,ARLINGTON,VA,22206,291800,38.8432489,-77.09818359999998,3.4200011828372947,2.768904822490547,3.0336372345723834,3.4134574443618586,2.6713107929786726,4.27751375645851,2.9717971305020434,2.4637120101228165,2.9782607174905404,3.962960869029205,2.7482534927383253,2.4637120101228165
23,1050 N TAYLOR ST 1-407,ARLINGTON,VA,22201,423900,38.88874759999999,-77.11332850000001,2.7128751850541444,0.47916820681485717,0.9800429463645745,1.5423307864327858,3.9587922629907717,2.3242018616860087,3.3217669784464214,3.368349894879221,4.628141475368231,2.2931524099167957,0.6682689827216495,0.47916820681485717
24,4421 16th ST N,ARLINGTON,VA,22207,896000,38.89065280000001,-77.11554919999998,2.8480683495699766,0.6390437626354002,1.120091550060994,1.650673381241842,4.131180224233855,2.2227312066702365,3.482262556780089,3.5395437994980683,4.8020666653585655,2.38194249718415,0.8439173712188485,0.6390437626354002
25,5538 10th ST N,ARLINGTON,VA,22205,883400,38.8805409,-77.13105639999998,3.6616426321005124,1.0576638603391315,1.979392657641909,2.597574408651153,4.553801749610962,1.4017220884275832,4.0938000016714176,4.003086462568034,5.173051472962327,3.3712347115505232,1.4891452650875783,1.0576638603391315
26,1346 LYNNBROOK DR,ARLINGTON,VA,22201,865300,38.888265999999994,-77.10261899999998,2.136829901504248,0.645422632654206,0.4055596808770937,0.9808235559275661,3.471615648809109,2.8955668515415525,2.780252483290523,2.874461128412981,4.152354649996837,1.7513641985459265,0.3803009844918827,0.3803009844918827
27,816 N ILLINOIS ST,ARLINGTON,VA,22205,693800,38.876043700000004,-77.12710109999998,3.488482944333176,0.9346361795632739,1.8765897517093564,2.5111249830133393,4.250377850401876,1.7020100692738709,3.843411446558054,3.7138320762057098,4.855131398367837,3.2948958663358914,1.35154922836792,0.9346361795632739
28,2100 LEE HWY 536,ARLINGTON,VA,22201,397100,38.8958533,-77.08361629999999,1.3480047542015912,1.7793263860906159,0.8696219231912105,0.30469658197645877,3.1689805448706254,3.9761785706034805,2.2739431621186648,2.5949474534259083,3.8536253482935825,0.6296474381273448,1.3995239745091514,0.30469658197645877
29,2903 S BUCHANAN ST,ARLINGTON,VA,22206,415700,38.83923679999999,-77.10001319999998,3.7062917055604494,3.01589705543054,3.316680732755139,3.7053444111762976,2.8719370985936683,4.402897212925,3.2291820857476385,2.7053229806643913,3.127760010147052,4.257069320732724,3.0163254755453788,2.7053229806643913
30,910 N MONTANA ST,ARLINGTON,VA,22205,653400,38.8761824,-77.14489870000001,4.4336976339103025,1.8415035929479773,2.7758301393755636,3.398409841781346,5.1725753237127945,0.888878844768873,4.798276327296196,4.650489462264515,5.756894019199346,4.173775468655692,2.272053147881736,0.888878844768873
31,3066 S ABINGDON ST,ARLINGTON,VA,22206,442800,38.837972799999996,-77.0966689,3.6892359318383714,3.1421716236855075,3.3948982446862908,3.7560557874028166,2.7518999518541927,4.590647659177861,3.1618670120199703,2.6217435115404983,2.9754706797631845,4.279643203044405,3.119614610618354,2.6217435115404983
32,1511 S STAFFORD ST,ARLINGTON,VA,22204,738700,38.8540674,-77.099006,2.8558103456854904,2.0408823944939734,2.2910103444515135,2.699276051381347,2.5444598859820062,3.770771814391048,2.5941162287502064,2.182956251026957,3.004502331749571,3.29441256778678,2.000526272223963,2.000526272223963
33,2813 A S WOODROW ST 00001,ARLINGTON,VA,22206,315700,38.840456,-77.09729709999998,3.5578227325757172,2.9676524849274277,3.2243616220941247,3.593193955041788,2.7037391970206404,4.4453615240240545,3.06490674793185,2.5381644402157773,2.9664890393200984,4.1279076962120245,2.945279133588732,2.5381644402157773
34,1819 N UNDERWOOD ST,ARLINGTON,VA,22205,1480400,38.884054799999994,-77.15788570000001,5.094074591781598,2.5002291417786817,3.3763304819383677,3.9604979884949127,5.9961514934863205,0.12823627093920134,5.557077049439353,5.45598007003659,6.598562315329226,4.7038738146334795,2.925110668096924,0.12823627093920134
35,1805 KEY BLVD 10512,ARLINGTON,VA,22201,275500,38.895244,-77.08253599999998,1.276265570476446,1.8067852233235158,0.8848781427554262,0.2843453565519052,3.1023294905692325,4.026074555296873,2.2041529294186417,2.5300555205816853,3.7862710419565135,0.5785450326243118,1.4185646754628611,0.2843453565519052
36,612 N WAKEFIELD ST,ARLINGTON,VA,22203,686900,38.877157399999994,-77.1155043,2.8608237868106094,0.3964952477453571,1.2886352961651097,1.9242747135052833,3.6894887284057445,2.2700858329537157,3.2319636512207817,3.1351585189634443,4.3165302788957485,2.707740749945166,0.7534363236483065,0.3964952477453571
37,3619 S TAYLOR ST,ARLINGTON,VA,22206,442800,38.8291441,-77.0898071,4.088512364697174,3.8312217926930545,4.014633884289261,4.320249761418848,2.814917194921647,5.287508206909507,3.4160881984193208,2.8361858313943444,2.8694241912292235,4.775620496485303,3.7804764544614553,2.814917194921647
38,4864 10th ST S,ARLINGTON,VA,22204,445800,38.8555015,-77.11084050000001,3.2569051574291814,1.8286953045777592,2.3388553334896565,2.8557876745881208,3.174105490160749,3.2057536170350667,3.140509727047107,2.7789102418221696,3.648172115140126,3.540228550306641,1.9272563197706831,1.8286953045777592
